name,album,artist,release_date,durations_in_mins
Man Of The Year,Man Of The Year,ScHoolboy Q,1/1/13,3.6
Shabba (feat. A$AP Rocky),Trap Lord,A$AP Ferg,8/19/13,4.6
Collard Greens,Oxymoron (Deluxe),ScHoolboy Q,1/1/14,5
The Fall,Trilogy,The Weeknd,1/1/12,5.75
What They Want,Oxymoron (Deluxe),ScHoolboy Q,1/1/14,4.45
Fuck LA,Oxymoron (Deluxe),ScHoolboy Q,1/1/14,3.34
Know Yourself,If You're Reading This It's Too Late,Drake,2/12/15,4.6
Energy,If You're Reading This It's Too Late,Drake,2/12/15,3.03
"Nothing (feat. IAMSU!, Dave Steezy)",Shmop City,Kool John,7/24/14,3.35
M'$,M'$,A$AP Rocky,4/10/15,3.64
Blue Hunnids,Blue Hunnids (feat. P-Lo) - Single,Kool John,3/2/15,3.28
Multiply (feat. Juicy J),Multiply (feat. Juicy J),A$AP Rocky,10/7/14,3.72
"""Eternal""",E.Eternal 1999,Bone Thugs-N-Harmony,1995,4.07
Bitch Please II,The Marshall Mathers LP,Eminem,5/23/00,4.8